shipment_id,booking_date,departure_date,arrival_date,weight_kg,volume_cbm,freight_cost_eur,status,origin_country,destination_country,customer_name,customer_segment,carrier_name,mode,carrier_mode,Anno_Settimana,Giorni_Transito,SLA_Rispettato,Costo_per_Kg,Costo_per_CBM,Categoria_Errore,Insuccesso_Flag
1,2024-09-07,2024-09-11,2024-10-05,"2299,8","8,81","4186,75",Delayed,Netherlands,Italy,Riverstone Logistics Partners,SME,Maersk,Sea,Sea,2024-36,"24,0",,"1,8204843899469518","475,2270147559591",Dati Validi,1
2,2024-08-26,2024-09-04,2024-10-13,"12369,3","48,05","25964,31",Delivered,Italy,UK,Nordic Textiles AB,Key Account,MSC,Sea,Sea,2024-35,"39,0","1,0","2,099092915524727","540,3602497398543",Dati Validi,0
3,2025-03-08,2025-03-14,2025-04-11,"4776,1","18,06","3265,01",Delivered,Sweden,Italy,Mediterraneo Ceramiche,Standard,Emirates SkyCargo,Sea,Air,2025-09,"28,0","1,0",,,Dati Validi,0
4,2024-02-14,2024-02-22,2024-03-03,"21409,9","103,54","37270,17",Delivered,Netherlands,Italy,Green Valley Foods,SME,DHL Global Forwarding,Road,Road,2024-07,"10,0","1,0","1,7407914095815484","359,9591462236816",Dati Validi,0
5,2024-03-12,2024-03-13,,"6402,1","39,53","6223,03",Cancelled,Italy,UK,Coastal Imports,SME,DHL Global Forwarding,Road,Road,2024-11,,,"0,9720294903234875","157,42549962054136",Dati Validi,1
6,2024-06-15,2024-06-21,2024-06-28,"14760,3","57,82","30193,6",Delivered,Italy,USA,Delta Manufacturing,Standard,,Road,Road,2024-24,"7,0","1,0","2,045595279228742","522,1999308197855",Anagrafica Carrier Mancante,0
7,2024-06-16,2024-06-24,2024-07-02,"21770,0","88,5","38097,13",Delivered,Italy,UK,Riverstone Logistics Partners,SME,Maersk Line,Road,Sea,2024-24,"8,0","1,0",,,Dati Validi,0
8,2025-02-14,2025-02-19,2025-03-13,"20093,3","85,48","42782,38",Delivered,Italy,USA,Nordic Textiles AB,Key Account,Lufthansa Cargo,Sea,Air,2025-06,"22,0","1,0",,,Dati Validi,0
9,2024-05-26,2024-05-31,2024-06-04,"16402,5","71,05","36167,9",Delivered,Italy,Portugal,Mediterraneo Ceramiche,Standard,CMA CGM,Road,Sea,2024-21,"4,0","1,0",,,Dati Validi,0
10,2024-05-21,2024-05-30,2024-06-03,"16639,4","59,6","12865,4",Delivered,Italy,UK,Coastal Imports,SME,CMA CGM,Air,Sea,2024-21,"4,0","1,0",,,Dati Validi,0
11,2025-01-29,2025-02-05,,"5568,5","23,9","15110,52",In Transit,Italy,Germany,Riverstone Logistics Partners,SME,CMA CGM,Road,Sea,2025-04,,,,,Dati Validi,0
12,2024-04-24,2024-04-29,2024-05-03,"10009,2","34,15","25185,68",Delivered,Italy,USA,Atlantic Furniture Co,Standard,Cosco Shipping,Air,Sea,2024-17,"4,0","1,0",,,Dati Validi,0
13,2024-11-01,2024-11-10,2024-11-15,"8257,4","47,39","22572,04",Delivered,Italy,Germany,Far East Trading Co,Standard,Maersk Line,Road,Sea,2024-44,"5,0","1,0",,,Dati Validi,0
14,2024-04-24,2024-04-30,2024-05-03,"1321,5","4,69","3611,92",Delivered,China,Italy,Nordic Textiles AB,Key Account,DHL Global Forwarding,Air,Road,2024-17,"3,0","1,0",,,Dati Validi,0
15,2024-05-11,2024-05-19,2024-05-29,"5868,0","20,89","8430,47",Delivered,Sweden,Italy,Mediterraneo Ceramiche,Standard,Maersk,Road,Sea,2024-19,"10,0","1,0",,,Dati Validi,0
